,loss,accuracy,val_loss,val_accuracy,lr
0,1.6448451280593872,0.4678187966346741,1.3159900903701782,0.5871000289916992,0.001
1,1.2390278577804565,0.6155879497528076,1.4242290258407593,0.5860999822616577,0.001
2,1.0688951015472412,0.6781280040740967,1.1297014951705933,0.6671000123023987,0.001
3,0.9707815051078796,0.7139939069747925,1.0431795120239258,0.7006000280380249,0.001
4,0.8818409442901611,0.7476169466972351,1.1845250129699707,0.6726999878883362,0.001
5,0.8274689316749573,0.7663609385490417,0.8577762842178345,0.7598999738693237,0.001
6,0.7848941087722778,0.7831023931503296,1.0213818550109863,0.7258999943733215,0.001
7,0.7414430975914001,0.7999439239501953,0.8418458104133606,0.7717999815940857,0.001
8,0.7166991829872131,0.8077338933944702,0.9538358449935913,0.734499990940094,0.001
9,0.6861943602561951,0.8197492957115173,0.8181257843971252,0.7857000231742859,0.001
10,0.6676079630851746,0.8261774778366089,0.8842592835426331,0.760699987411499,0.001
11,0.6404183506965637,0.8383530974388123,1.042316198348999,0.732699990272522,0.001
12,0.6297767162322998,0.8390940427780151,0.806261420249939,0.7885000109672546,0.001
13,0.6083720922470093,0.847665011882782,0.8154333233833313,0.7980999946594238,0.001
14,0.6025925874710083,0.8511695265769958,0.7173894643783569,0.8246999979019165,0.001
15,0.5861884355545044,0.8562560081481934,0.7774849534034729,0.8087000250816345,0.001
16,0.5782493352890015,0.8600007891654968,0.9212018847465515,0.7784000039100647,0.001
17,0.5606489181518555,0.8671098947525024,0.7809839248657227,0.8076000213623047,0.001
18,0.5513783693313599,0.8706144094467163,0.7905887365341187,0.8001999855041504,0.001
19,0.5460585951805115,0.8717758655548096,0.674141526222229,0.8410000205039978,0.001
20,0.5413122773170471,0.8748998641967773,0.6911284923553467,0.8343999981880188,0.001
21,0.527935266494751,0.8804870247840881,0.6984894275665283,0.8317999839782715,0.001
22,0.5199710726737976,0.883691132068634,0.8116381764411926,0.8118000030517578,0.001
23,0.5227168202400208,0.8816285133361816,0.985757052898407,0.7735000252723694,0.001
24,0.5173925757408142,0.8838227987289429,0.8117131590843201,0.8133000135421753,0.001
25,0.5036019682884216,0.8896387219429016,0.8926695585250854,0.7930999994277954,0.001
26,0.49928438663482666,0.8923822641372681,1.0115646123886108,0.7639999985694885,0.001
27,0.49669888615608215,0.8928828835487366,0.7886747121810913,0.8100000023841858,0.001
28,0.4953024387359619,0.8941245079040527,0.697715699672699,0.8396000266075134,0.001
29,0.4899230897426605,0.8969080448150635,0.8338788151741028,0.8073999881744385,0.001
